recorded_utc,recorded_wib,timestamp_source,event_date,source,url,event_id,event_label,event_text,event_code,event_root_code,actor1,actor2,country,goldstein_scale,num_mentions,num_sources,num_articles,avg_tone,dedup_key,news_id
2025-10-21 07:45:00+00:00,2025-10-21 07:45:00+00:00,DATEADDED_UTC,2025-10-21,indiatimes.com,https://www.indiatimes.com/trending/orionid-meteor-shower-2025-to-light-up-skies-this-week-heres-how-nasa-explains-ways-to-catch-20-shooting-stars-in-an-hour/articleshow/124715953.html,1269768837,NASA 193,actor1 NASA actor2 event_code 193 event_root_code 19 country US,193,19,NASA,,US,-10.0,10,1,10,1.29659643435981,1269768837,1269768837
2025-10-21 08:00:00+00:00,2025-10-21 08:00:00+00:00,DATEADDED_UTC,2025-10-21,goulburnpost.com.au,https://www.goulburnpost.com.au/story/9094059/sean-diddy-combs-legal-team-set-to-appeal-conviction/,1269770232,PRISON 173 PROSECUTOR,actor1 PRISON actor2 PROSECUTOR event_code 173 event_root_code 17 country AS,173,17,PRISON,PROSECUTOR,AS,-5.0,6,1,6,-4.40456769983687,1269770232,1269770232
2025-10-21 08:00:00+00:00,2025-10-21 08:00:00+00:00,DATEADDED_UTC,2025-10-21,english.almanar.com.lb,https://english.almanar.com.lb/2519607,1269770375,UNITED KINGDOM 112 IRAN,actor1 UNITED KINGDOM actor2 IRAN event_code 112 event_root_code 11 country IR,112,11,UNITED KINGDOM,IRAN,IR,-2.0,7,1,7,-4.43037974683545,1269770375,1269770375
2025-10-21 08:00:00+00:00,2025-10-21 08:00:00+00:00,DATEADDED_UTC,2025-10-21,bristolpost.co.uk,https://www.bristolpost.co.uk/news/bristol-news/palestine-supporters-go-prison-hunger-10586992,1269770754,PRISONER 142 GOVERNMENT,actor1 PRISONER actor2 GOVERNMENT event_code 142 event_root_code 14 country UK,142,14,PRISONER,GOVERNMENT,UK,-6.5,10,1,10,-11.3207547169811,1269770754,1269770754
2025-10-21 09:00:00+00:00,2025-10-21 09:00:00+00:00,DATEADDED_UTC,2025-10-21,dailypost.ng,https://dailypost.ng/2025/10/21/police-arrest-3-suspected-drug-peddlers-in-jigawa/,1269779300,OPERATIVE 190,actor1 OPERATIVE actor2 event_code 190 event_root_code 19 country NG,190,19,OPERATIVE,,NG,-10.0,20,2,20,-8.40154380148162,1269779300,1269779300
2025-10-21 09:45:00+00:00,2025-10-21 09:45:00+00:00,DATEADDED_UTC,2025-10-21,newstatesman.com,https://www.newstatesman.com/politics/2025/10/of-course-china-is-a-threat,1269785894,UNITED KINGDOM 112 CHINA,actor1 UNITED KINGDOM actor2 CHINA event_code 112 event_root_code 11 country CH,112,11,UNITED KINGDOM,CHINA,CH,-2.0,6,1,6,-5.02928005511539,1269785894,1269785894
2025-10-21 09:45:00+00:00,2025-10-21 09:45:00+00:00,DATEADDED_UTC,2025-10-21,bssnews.net,https://www.bssnews.net/international/323415,1269786445,MEXICO CITY 193,actor1 MEXICO CITY actor2 event_code 193 event_root_code 19 country MX,193,19,MEXICO CITY,,MX,-10.0,8,1,8,-9.75609756097565,1269786445,1269786445
2025-10-21 10:00:00+00:00,2025-10-21 10:00:00+00:00,DATEADDED_UTC,2025-10-21,surinenglish.com,https://www.surinenglish.com/malaga/malaga-city/malaga-airport-medical-service-spends-almost-hours-20251021082854-nt.html,1269788023,COMPANY 120 REPRESENTATIVES,actor1 COMPANY actor2 REPRESENTATIVES event_code 120 event_root_code 12 country SP,120,12,COMPANY,REPRESENTATIVES,SP,-4.0,10,1,10,-3.39366515837104,1269788023,1269788023
2025-10-21 10:15:00+00:00,2025-10-21 10:15:00+00:00,DATEADDED_UTC,2025-10-21,militarytimes.com,https://www.militarytimes.com/veterans/military-history/2025/10/17/i-see-em-well-fight-em-pattons-black-panthers/,1269791095,BLACK PANTHERS 190,actor1 BLACK PANTHERS actor2 event_code 190 event_root_code 19 country US,190,19,BLACK PANTHERS,,US,-10.0,6,1,6,-2.94871794871795,1269791095,1269791095
2025-10-21 10:30:00+00:00,2025-10-21 10:30:00+00:00,DATEADDED_UTC,2025-10-21,afghanistannews.net,http://www.afghanistannews.net/news/278648101/a-quieter-kind-of-power-russia-central-asia-and-the-economics-of-peace,1269793512,PAKISTAN 190 AFGHANISTAN,actor1 PAKISTAN actor2 AFGHANISTAN event_code 190 event_root_code 19 country AF,190,19,PAKISTAN,AFGHANISTAN,AF,-10.0,8,1,8,-0.0977517106549399,1269793512,1269793512
2025-10-21 10:45:00+00:00,2025-10-21 10:45:00+00:00,DATEADDED_UTC,2025-10-21,yahoo.com,https://www.yahoo.com/news/articles/syrians-stand-trial-germany-war-100934299.html,1269796201,SYRIAN 173 GERMANY,actor1 SYRIAN actor2 GERMANY event_code 173 event_root_code 17 country GM,173,17,SYRIAN,GERMANY,GM,-5.0,10,1,10,-9.7560975609756,1269796201,1269796201
2025-10-21 10:45:00+00:00,2025-10-21 10:45:00+00:00,DATEADDED_UTC,2025-10-21,firstpost.com,https://www.firstpost.com/world/in-a-trump-like-deal-netherlands-eyes-to-start-deporting-migrants-to-uganda-from-next-year-13943809.html,1269796262,UGANDAN 100 CRIMINAL,actor1 UGANDAN actor2 CRIMINAL event_code 100 event_root_code 10 country UG,100,10,UGANDAN,CRIMINAL,UG,-5.0,6,1,6,-4.7713717693837,1269796262,1269796262
2025-10-21 11:00:00+00:00,2025-10-21 11:00:00+00:00,DATEADDED_UTC,2025-10-21,english.almanar.com.lb,https://english.almanar.com.lb/2519673,1269798654,WEST BANK 190 ISRAELI,actor1 WEST BANK actor2 ISRAELI event_code 190 event_root_code 19 country IS,190,19,WEST BANK,ISRAELI,IS,-10.0,5,1,5,-12.0879120879121,1269798654,1269798654
2025-10-21 11:45:00+00:00,2025-10-21 11:45:00+00:00,DATEADDED_UTC,2025-10-21,perthnow.com.au,https://www.perthnow.com.au/news/brittany-higgins-will-no-longer-fight-her-defamation-loss-in-the-wa-supreme-court-c-20425427,1269806241,SUPREME COURT 130,actor1 SUPREME COURT actor2 event_code 130 event_root_code 13 country AS,130,13,SUPREME COURT,,AS,-4.4,12,1,6,-6.1310782241015,1269806241,1269806241
2025-10-21 11:45:00+00:00,2025-10-21 11:45:00+00:00,DATEADDED_UTC,2025-10-21,naturalnews.com,https://www.naturalnews.com/2025-10-21-eu-phased-ban-on-russian-gas.html,1269806541,RUSSIA 163 UKRAINE,actor1 RUSSIA actor2 UKRAINE event_code 163 event_root_code 16 country RS,163,16,RUSSIA,UKRAINE,RS,-8.0,10,1,10,-6.58307210031348,1269806541,1269806541
2025-10-21 11:45:00+00:00,2025-10-21 11:45:00+00:00,DATEADDED_UTC,2025-10-21,yahoo.com,https://www.yahoo.com/news/articles/ukraine-war-latest-live-russias-105702178.html,1269806667,UKRAINIAN 190 RUSSIA,actor1 UKRAINIAN actor2 RUSSIA event_code 190 event_root_code 19 country UP,190,19,UKRAINIAN,RUSSIA,UP,-10.0,13,1,10,-7.94392523364486,1269806667,1269806667
2025-10-21 12:00:00+00:00,2025-10-21 12:00:00+00:00,DATEADDED_UTC,2025-10-21,thenorthernecho.co.uk,https://www.thenorthernecho.co.uk/news/25556464.man-80-extradited-thailand-faces-teesside-trial-march/,1269808179,1243 JUDGE,actor1 actor2 JUDGE event_code 1243 event_root_code 12 country TH,1243,12,,JUDGE,TH,-4.0,10,1,10,-11.7283950617284,1269808179,1269808179
2025-10-21 12:00:00+00:00,2025-10-21 12:00:00+00:00,DATEADDED_UTC,2025-10-21,english.news.cn,https://english.news.cn/20251021/0bcb0205b4ab4447b3af99aab5b5d252/c.html,1269808588,EUROPEAN 154 NATO,actor1 EUROPEAN actor2 NATO event_code 154 event_root_code 15 country RS,154,15,EUROPEAN,NATO,RS,-7.2,20,1,20,-1.34228187919463,1269808588,1269808588
2025-10-21 12:30:00+00:00,2025-10-21 12:30:00+00:00,DATEADDED_UTC,2025-10-21,yahoo.com,https://www.yahoo.com/news/articles/most-johnstown-candidates-join-forum-114700015.html,1269813766,CITY MANAGER 120,actor1 CITY MANAGER actor2 event_code 120 event_root_code 12 country US,120,12,CITY MANAGER,,US,-4.0,10,1,10,0.9765625,1269813766,1269813766
2025-10-21 13:00:00+00:00,2025-10-21 13:00:00+00:00,DATEADDED_UTC,2025-10-21,globalsecurity.org,https://www.globalsecurity.org/military/library/news/2025/10/mil-251020-ec01.htm,1269819675,THE EU 120 SUDAN,actor1 THE EU actor2 SUDAN event_code 120 event_root_code 12 country SU,120,12,THE EU,SUDAN,SU,-4.0,10,1,10,0.4739336492891,1269819675,1269819675
2025-10-21 13:15:00+00:00,2025-10-21 13:15:00+00:00,DATEADDED_UTC,2025-10-21,dailytrust.com,https://dailytrust.com/flashback-ipob-linked-atrocities-killings-in-south-east/,1269824663,GUNMEN 193 NIGERIA,actor1 GUNMEN actor2 NIGERIA event_code 193 event_root_code 19 country NI,193,19,GUNMEN,NIGERIA,NI,-10.0,10,1,8,-10.1679929266136,1269824663,1269824663
2025-10-21 13:30:00+00:00,2025-10-21 13:30:00+00:00,DATEADDED_UTC,2025-10-21,kbzk.com,https://www.kbzk.com/world/israel-at-war/vance-meets-netanyahu-as-gaza-ceasefire-faces-new-challenges-after-weekend-violence,1269825582,ADMINISTRATION 141,actor1 ADMINISTRATION actor2 event_code 141 event_root_code 14 country IS,141,14,ADMINISTRATION,,IS,-6.5,10,1,10,-5.12820512820513,1269825582,1269825582
2025-10-21 14:15:00+00:00,2025-10-21 14:15:00+00:00,DATEADDED_UTC,2025-10-21,namibian.com.na,https://www.namibian.com.na/french-ex-president-sarkozy-goes-to-jail-for-campaign-finance-conspiracy/,1269833132,NICOLAS SARKOZY 192 POLICE OFFICER,actor1 NICOLAS SARKOZY actor2 POLICE OFFICER event_code 192 event_root_code 19 country WA,192,19,NICOLAS SARKOZY,POLICE OFFICER,WA,-9.5,5,1,5,-4.37810945273632,1269833132,1269833132
2025-10-21 14:15:00+00:00,2025-10-21 14:15:00+00:00,DATEADDED_UTC,2025-10-21,wwaytv3.com,https://www.wwaytv3.com/former-french-president-sarkozy-begins-a-5-year-prison-sentence-for-campaign-finance-conspiracy/,1269833137,NICOLAS SARKOZY 173 NICOLAS SARKOZY,actor1 NICOLAS SARKOZY actor2 NICOLAS SARKOZY event_code 173 event_root_code 17 country FR,173,17,NICOLAS SARKOZY,NICOLAS SARKOZY,FR,-5.0,6,1,6,-3.28102710413694,1269833137,1269833137
2025-10-21 14:15:00+00:00,2025-10-21 14:15:00+00:00,DATEADDED_UTC,2025-10-21,aps.dz:443,https://www.aps.dz:443/en/world/arab-world/mh0jq0b2-toll-rises-to-68-229-martyrs-170-369-injured,1269833794,GAZA 180 AUTHORITIES,actor1 GAZA actor2 AUTHORITIES event_code 180 event_root_code 18 country GZ,180,18,GAZA,AUTHORITIES,GZ,-9.0,10,1,10,-21.2121212121212,1269833794,1269833794
2025-10-21 15:00:00+00:00,2025-10-21 15:00:00+00:00,DATEADDED_UTC,2025-10-21,latintimes.com,https://www.latintimes.com/marco-rubio-reportedly-warned-mexican-foreign-minister-that-military-campaign-against-venezuela-590738,1269842391,VENEZUELAN 100 CITIZEN,actor1 VENEZUELAN actor2 CITIZEN event_code 100 event_root_code 10 country VE,100,10,VENEZUELAN,CITIZEN,VE,-5.0,6,1,6,-6.19718309859155,1269842391,1269842391
2025-10-21 17:15:00+00:00,2025-10-21 17:15:00+00:00,DATEADDED_UTC,2025-10-21,thegamenashville.com,https://www.thegamenashville.com/2025/10/21/transfer-rumors-news-chelsea-to-go-back-in-for-spain-striker-samu/,1269867434,PORTO 138 SPAIN,actor1 PORTO actor2 SPAIN event_code 138 event_root_code 13 country SP,138,13,PORTO,SPAIN,SP,-7.0,10,1,10,-2.85714285714285,1269867434,1269867434
2025-10-21 18:00:00+00:00,2025-10-21 18:00:00+00:00,DATEADDED_UTC,2025-10-21,bondbuyer.com,https://www.bondbuyer.com/news/texas-governor-orders-crackdown-on-colorful-crosswalks,1269875273,TEXAS 170,actor1 TEXAS actor2 event_code 170 event_root_code 17 country US,170,17,TEXAS,,US,-7.0,6,1,6,-2.32974910394266,1269875273,1269875273
2025-10-21 18:30:00+00:00,2025-10-21 18:30:00+00:00,DATEADDED_UTC,2025-10-21,news.antiwar.com,https://news.antiwar.com/2025/10/21/bipartisan-bill-in-the-senate-would-block-trump-from-going-to-war-with-venezuela/,1269880036,ADMINISTRATION 1384 MILITARY,actor1 ADMINISTRATION actor2 MILITARY event_code 1384 event_root_code 13 country VE,1384,13,ADMINISTRATION,MILITARY,VE,-7.0,5,1,5,-4.24528301886793,1269880036,1269880036
2025-10-21 18:45:00+00:00,2025-10-21 18:45:00+00:00,DATEADDED_UTC,2025-10-21,yahoo.com,https://www.yahoo.com/news/articles/demolition-company-alba-pay-1-164556065.html,1269882846,COMPANIES 173 ATTORNEY,actor1 COMPANIES actor2 ATTORNEY event_code 173 event_root_code 17 country US,173,17,COMPANIES,ATTORNEY,US,-5.0,10,1,10,-10.913140311804,1269882846,1269882846
2025-10-21 19:15:00+00:00,2025-10-21 19:15:00+00:00,DATEADDED_UTC,2025-10-21,wmur.com,https://www.wmur.com/article/sentence-prison-jerry-summers-pills-102125/69109725,1269887204,173 FEDERAL COURT,actor1 actor2 FEDERAL COURT event_code 173 event_root_code 17 country US,173,17,,FEDERAL COURT,US,-5.0,10,1,10,-5.5472263868066,1269887204,1269887204
2025-10-21 19:30:00+00:00,2025-10-21 19:30:00+00:00,DATEADDED_UTC,2025-10-21,myjoyonline.com,https://www.myjoyonline.com/minority-vows-to-fight-torkornoos-removal/,1269890266,PARLIAMENT 130 CHIEF JUSTICE,actor1 PARLIAMENT actor2 CHIEF JUSTICE event_code 130 event_root_code 13 country GH,130,13,PARLIAMENT,CHIEF JUSTICE,GH,-4.4,10,1,10,-3.08788598574821,1269890266,1269890266
2025-10-21 19:30:00+00:00,2025-10-21 19:30:00+00:00,DATEADDED_UTC,2025-10-21,foxnews.com,https://www.foxnews.com/us/illegal-immigrants-arrested-after-woman-found-shot-death-texas-woods-1-wanted-mexican-feds-police,1269890310,MEXICO 174 MEXICO,actor1 MEXICO actor2 MEXICO event_code 174 event_root_code 17 country MX,174,17,MEXICO,MEXICO,MX,-5.0,5,1,5,-7.71428571428571,1269890310,1269890310
2025-10-21 20:15:00+00:00,2025-10-21 20:15:00+00:00,DATEADDED_UTC,2025-10-21,newstalkkit.com,https://newstalkkit.com/ixp/1130/p/moses-lake-school-board-policy/,1269895739,174 PRESIDENT,actor1 actor2 PRESIDENT event_code 174 event_root_code 17 country US,174,17,,PRESIDENT,US,-5.0,6,1,6,-0.62208398133748,1269895739,1269895739
2025-10-21 20:15:00+00:00,2025-10-21 20:15:00+00:00,DATEADDED_UTC,2025-10-21,mid-day.com,https://www.mid-day.com/news/world-news/article/-gaza-ceasefire-us-vice-president-jd-vance-arrives-in-israel-to-shore-up-fragile-truce-23599643,1269896329,UNITED NATIONS 1014,actor1 UNITED NATIONS actor2 event_code 1014 event_root_code 10 country IS,1014,10,UNITED NATIONS,,IS,-5.0,5,1,5,-9.92509363295884,1269896329,1269896329
2025-10-21 20:15:00+00:00,2025-10-21 20:15:00+00:00,DATEADDED_UTC,2025-10-21,thetimes.com,https://www.thetimes.com/us/american-politics/article/jd-vance-fragile-ceasefire-gaza-israel-fsrnq2lft,1269896353,ISRAELI 190 PRESIDENT,actor1 ISRAELI actor2 PRESIDENT event_code 190 event_root_code 19 country IS,190,19,ISRAELI,PRESIDENT,IS,-10.0,6,1,6,-3.58422939068101,1269896353,1269896353
2025-10-21 20:45:00+00:00,2025-10-21 20:45:00+00:00,DATEADDED_UTC,2025-10-21,wtov9.com,https://wtov9.com/news/nation-world/us-pushes-to-reinforce-fragile-gaza-ceasefire-as-vance-visits-israel-president-donald-trump-hamas-hostages-militants-armed,1269900742,PRESIDENT 130 HAMAS,actor1 PRESIDENT actor2 HAMAS event_code 130 event_root_code 13 country IS,130,13,PRESIDENT,HAMAS,IS,-4.4,12,2,12,-4.43037974683544,1269900742,1269900742
2025-10-21 21:00:00+00:00,2025-10-21 21:00:00+00:00,DATEADDED_UTC,2025-10-21,koreaherald.com,https://www.koreaherald.com/article/10598244,1269903795,THE US 1712 VENEZUELA,actor1 THE US actor2 VENEZUELA event_code 1712 event_root_code 17 country VE,1712,17,THE US,VENEZUELA,VE,-9.2,16,1,8,-4.05904059040591,1269903795,1269903795
2025-10-21 21:15:00+00:00,2025-10-21 21:15:00+00:00,DATEADDED_UTC,2025-10-21,channelstv.com,https://www.channelstv.com/2025/10/21/adc-mum-on-calls-for-nnamdi-kanus-release-faults-clampdown-on-protesters/,1269904609,PROTESTER 172 NATIONAL ASSEMBLY,actor1 PROTESTER actor2 NATIONAL ASSEMBLY event_code 172 event_root_code 17 country NI,172,17,PROTESTER,NATIONAL ASSEMBLY,NI,-5.0,5,1,5,-7.16463414634146,1269904609,1269904609
2025-10-21 21:45:00+00:00,2025-10-21 21:45:00+00:00,DATEADDED_UTC,2025-10-21,amny.com,https://www.amny.com/politics/construction-settlement-ag-james-indictment/,1269909355,REPRESENTATIVES 124 SETTLEMENT,actor1 REPRESENTATIVES actor2 SETTLEMENT event_code 124 event_root_code 12 country US,124,12,REPRESENTATIVES,SETTLEMENT,US,-4.0,10,1,10,-9.68342644320295,1269909355,1269909355
2025-10-21 22:15:00+00:00,2025-10-21 22:15:00+00:00,DATEADDED_UTC,2025-10-21,allafrica.com,https://allafrica.com/stories/202510210670.html,1269912290,173 GOVERNMENT,actor1 actor2 GOVERNMENT event_code 173 event_root_code 17 country GH,173,17,,GOVERNMENT,GH,-5.0,10,1,10,-6.88172043010753,1269912290,1269912290
2025-10-21 23:15:00+00:00,2025-10-21 23:15:00+00:00,DATEADDED_UTC,2025-10-21,club937.com,https://club937.com/ixp/812/p/finesse2tymes-arrested-multiple-drug-charges/,1269920059,TEXAS 173 HALLE,actor1 TEXAS actor2 HALLE event_code 173 event_root_code 17 country US,173,17,TEXAS,HALLE,US,-5.0,6,2,6,-2.1446376459144,1269920059,1269920059
2025-10-22 00:15:00+00:00,2025-10-22 00:15:00+00:00,DATEADDED_UTC,2025-10-22,1490wosh.com,https://www.1490wosh.com/2025/10/21/wh-moves-to-clear-final-hurdle-to-portland-guard-deployment/,1269927479,NATIONAL GUARD 154 ADMINISTRATION,actor1 NATIONAL GUARD actor2 ADMINISTRATION event_code 154 event_root_code 15 country US,154,15,NATIONAL GUARD,ADMINISTRATION,US,-7.2,8,1,8,-3.45572354211664,1269927479,1269927479
2025-10-22 00:30:00+00:00,2025-10-22 00:30:00+00:00,DATEADDED_UTC,2025-10-21,bulawayo24.com,https://bulawayo24.com/index-id-news-sc-national-byo-258988.html,1269929396,PUBLIC PROSECUTOR 112 ZIMBABWE,actor1 PUBLIC PROSECUTOR actor2 ZIMBABWE event_code 112 event_root_code 11 country ZI,112,11,PUBLIC PROSECUTOR,ZIMBABWE,ZI,-2.0,10,1,10,-6.68523676880227,1269929396,1269929396
2025-10-22 00:30:00+00:00,2025-10-22 00:30:00+00:00,DATEADDED_UTC,2025-10-22,nypost.com,https://nypost.com/2025/10/21/us-news/hochul-vetoes-bill-boosting-ems-staffing-on-nyc-911-calls-inspired-by-first-responders-murder/,1269930164,GOVERNOR 129,actor1 GOVERNOR actor2 event_code 129 event_root_code 12 country US,129,12,GOVERNOR,,US,-5.0,12,1,6,-5.03355704697986,1269930164,1269930164
2025-10-22 00:30:00+00:00,2025-10-22 00:30:00+00:00,DATEADDED_UTC,2025-10-22,ktsa.com,https://www.ktsa.com/a-look-at-the-us-militarys-unusually-large-force-in-the-caribbean-sea/,1269930627,NAVY 180,actor1 NAVY actor2 event_code 180 event_root_code 18 country RQ,180,18,NAVY,,RQ,-9.0,10,1,10,-2.53164556962025,1269930627,1269930627
2025-10-22 00:45:00+00:00,2025-10-22 00:45:00+00:00,DATEADDED_UTC,2025-10-22,yahoo.com,https://www.yahoo.com/news/articles/long-island-hospital-worker-critically-234154084.html,1269933396,HOSPITAL 111 PROSECUTOR,actor1 HOSPITAL actor2 PROSECUTOR event_code 111 event_root_code 11 country,111,11,HOSPITAL,PROSECUTOR,,-2.0,10,1,10,-6.01173020527859,1269933396,1269933396
2025-10-22 01:00:00+00:00,2025-10-22 01:00:00+00:00,DATEADDED_UTC,2025-10-22,yahoo.com,https://www.yahoo.com/news/articles/ukraine-hits-russian-chemical-plant-003252949.html,1269936319,RUSSIA 195 UKRAINE,actor1 RUSSIA actor2 UKRAINE event_code 195 event_root_code 19 country UP,195,19,RUSSIA,UKRAINE,UP,-10.0,8,1,8,-5.32150776053215,1269936319,1269936319
2025-10-22 01:30:00+00:00,2025-10-22 01:30:00+00:00,DATEADDED_UTC,2025-10-22,amren.com,https://www.amren.com/news/2025/10/criminal-illegal-alien-who-offered-10000-bounties-to-murder-ice-agents-arrested-in-dallas/,1269940725,DALLAS 173 MEXICO,actor1 DALLAS actor2 MEXICO event_code 173 event_root_code 17 country US,173,17,DALLAS,MEXICO,US,-5.0,6,1,6,-12.9032258064516,1269940725,1269940725
2025-10-22 01:45:00+00:00,2025-10-22 01:45:00+00:00,DATEADDED_UTC,2025-10-22,wcvb.com,https://www.wcvb.com/article/hundreds-dismissed-in-one-day-because-of-lawyer-shortage/69112278,1269941587,LEGISLATURE 172,actor1 LEGISLATURE actor2 event_code 172 event_root_code 17 country US,172,17,LEGISLATURE,,US,-5.0,6,1,6,-9.4606542882405,1269941587,1269941587
2025-10-22 02:30:00+00:00,2025-10-22 02:30:00+00:00,DATEADDED_UTC,2025-10-22,12news.com,https://www.12news.com/article/news/nation-world/man-arrested-atlanta-airport-ar-15-police-billy-cagle-livestream-social-media/507-4be1c1c0-daae-4226-b105-b980c1b85810,1269946813,AUTHORITIES 100 ATLANTA,actor1 AUTHORITIES actor2 ATLANTA event_code 100 event_root_code 10 country,100,10,AUTHORITIES,ATLANTA,,-5.0,10,1,10,-5.28846153846154,1269946813,1269946813
2025-10-22 03:30:00+00:00,2025-10-22 03:30:00+00:00,DATEADDED_UTC,2025-10-22,mangalorean.com,https://www.mangalorean.com/us-vice-president-vance-says-hamas-will-be-obliterated-if-it-rejects-disarmament/,1269953433,PRESIDENT 120,actor1 PRESIDENT actor2 event_code 120 event_root_code 12 country IS,120,12,PRESIDENT,,IS,-4.0,10,1,10,-4.45205479452055,1269953433,1269953433
2025-10-22 03:45:00+00:00,2025-10-22 03:45:00+00:00,DATEADDED_UTC,2025-10-22,juneesoutherncross.com.au,https://www.juneesoutherncross.com.au/story/9094338/n-korea-fires-missiles-before-leaders-meet-in-s-korea/,1269955587,NORTH KOREA 120 THE US,actor1 NORTH KOREA actor2 THE US event_code 120 event_root_code 12 country KN,120,12,NORTH KOREA,THE US,KN,-4.0,12,2,12,-2.24803774215097,1269955587,1269955587
2025-10-22 04:00:00+00:00,2025-10-22 04:00:00+00:00,DATEADDED_UTC,2025-10-22,crooksandliars.com,https://crooksandliars.com/2025/10/colombia-recalls-ambassador-blasts-trump,1269956626,COLOMBIAN 161 AMBASSADOR,actor1 COLOMBIAN actor2 AMBASSADOR event_code 161 event_root_code 16 country VE,161,16,COLOMBIAN,AMBASSADOR,VE,-4.0,6,1,6,-3.5483870967742,1269956626,1269956626
